customerID,gender,SeniorCitizen,SeniorCitizen_Label,Partner,Dependents,tenure,Tenure_Band,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Estimated_Annual_Revenue,Churn,Churn_Flag,Churn_Prob,Churn_Risk_Score,Predicted_Churn,Focus_Flag,Focus_Priority,Model_Split
7590-VHVEG,Female,0,No,Yes,No,1,0-12,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,358.20000000000005,No,0,0.6124709157065423,61.2,1,Elevated risk (top 20%),2,train
5575-GNVDE,Male,0,No,No,No,34,25-48,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,683.4000000000001,No,0,0.04387821864706406,4.4,0,Ok / monitor,3,train
3668-QPYBK,Male,0,No,No,No,2,0-12,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,646.2,Yes,1,0.3012471490903311,30.1,0,Ok / monitor,3,train
7795-CFOCW,Male,0,No,No,No,45,25-48,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,507.59999999999997,No,0,0.028139978353563702,2.8,0,Ok / monitor,3,train
9237-HQITU,Female,0,No,No,No,2,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,848.4000000000001,Yes,1,0.6899276408722439,69.0,1,High risk / high value,1,train
9305-CDSKC,Female,0,No,No,No,8,0-12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1195.8000000000002,Yes,1,0.7970814648542566,79.7,1,High risk / high value,1,train
1452-KIOVK,Male,0,No,No,Yes,22,13-24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,1069.1999999999998,No,0,0.48926736696442097,48.9,0,Ok / monitor,3,test
6713-OKOMC,Female,0,No,No,No,10,0-12,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,357.0,No,0,0.2937617860625768,29.4,0,Ok / monitor,3,test
7892-POOKP,Female,0,No,Yes,No,28,25-48,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1257.6,Yes,1,0.6241754075830677,62.4,1,High risk / high value,1,train
6388-TABGU,Male,0,No,No,Yes,62,49-72,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,673.8,No,0,0.010501679817805473,1.1,0,Ok / monitor,3,test
9763-GRSKD,Male,0,No,Yes,Yes,13,13-24,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,599.4000000000001,No,0,0.2063184816881313,20.6,0,Ok / monitor,3,train
7469-LKBCI,Male,0,No,No,No,16,13-24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,227.39999999999998,No,0,0.027573520334884954,2.8,0,Ok / monitor,3,train
8091-TTVAX,Male,0,No,Yes,No,58,49-72,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,1204.1999999999998,No,0,0.17978010257110566,18.0,0,Ok / monitor,3,train
0280-XJGEX,Male,0,No,No,No,49,49-72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1244.4,Yes,1,0.4367494037964858,43.7,0,Ok / monitor,3,train
5129-JLPIS,Male,0,No,No,No,25,25-48,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,1266.0,No,0,0.4615544593297309,46.2,0,Ok / monitor,3,test
3655-SNQYZ,Female,0,No,Yes,Yes,69,49-72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,1359.0,No,0,0.032238473772498014,3.2,0,Ok / monitor,3,train
8191-XWSZG,Female,0,No,No,No,52,49-72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,247.79999999999998,No,0,0.010827198078547845,1.1,0,Ok / monitor,3,train
9959-WOFKT,Male,0,No,No,Yes,71,49-72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,1280.4,No,0,0.041487226347772334,4.1,0,Ok / monitor,3,train
4190-MFLUW,Female,0,No,Yes,Yes,10,0-12,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,662.4000000000001,Yes,1,0.15349198279201134,15.3,0,Ok / monitor,3,test
4183-MYFRB,Female,0,No,No,No,21,13-24,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,1080.6,No,0,0.5627298258775768,56.3,1,High risk / high value,1,train
8779-QRDMV,Male,1,Yes,No,No,1,0-12,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,475.79999999999995,Yes,1,0.7248340344133395,72.5,1,Elevated risk (top 20%),2,train
1680-VDCWW,Male,0,No,Yes,No,12,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,237.60000000000002,No,0,0.06334967453123591,6.3,0,Ok / monitor,3,train
1066-JKSGK,Male,0,No,No,No,1,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,241.79999999999998,Yes,1,0.19256377924575546,19.3,0,Ok / monitor,3,train
3638-WEABW,Female,0,No,Yes,No,58,49-72,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,718.8,No,0,0.016796275630712395,1.7,0,Ok / monitor,3,train
6322-HRPFA,Male,0,No,Yes,Yes,49,49-72,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,715.2,No,0,0.025551958510418162,2.6,0,Ok / monitor,3,test
6865-JZNKO,Female,0,No,No,No,30,25-48,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,663.5999999999999,No,0,0.11174397335898757,11.2,0,Ok / monitor,3,train
6467-CHFZW,Male,0,No,Yes,Yes,47,25-48,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1192.1999999999998,Yes,1,0.49541446146738255,49.5,0,Ok / monitor,3,train
8665-UTDHZ,Male,0,No,Yes,Yes,1,0-12,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,362.4,Yes,1,0.46819571723862424,46.8,0,Ok / monitor,3,train
5248-YGIJN,Male,0,No,Yes,No,72,49-72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,1083.0,No,0,0.015684014858186563,1.6,0,Ok / monitor,3,train
8773-HHUOZ,Female,0,No,No,Yes,17,13-24,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,776.4000000000001,Yes,1,0.3540045614658706,35.4,0,Ok / monitor,3,train
3841-NFECX,Female,1,Yes,Yes,No,71,49-72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,1156.1999999999998,No,0,0.027779876106150826,2.8,0,Ok / monitor,3,train
4929-XIHVW,Male,1,Yes,Yes,No,2,0-12,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,1146.0,No,0,0.7286118353021687,72.9,1,High risk / high value,1,train
6827-IEAUQ,Female,0,No,Yes,Yes,27,25-48,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,793.8000000000001,No,0,0.029703045457197444,3.0,0,Ok / monitor,3,train
7310-EGVHZ,Male,0,No,No,No,1,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,242.39999999999998,No,0,0.18066917308854855,18.1,0,Ok / monitor,3,train
3413-BMNZE,Male,1,Yes,No,No,1,0-12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,543.0,No,0,0.36628789530756667,36.6,0,Ok / monitor,3,train
6234-RAAPL,Female,0,No,Yes,Yes,72,49-72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,1198.8000000000002,No,0,0.01989209298420093,2.0,0,Ok / monitor,3,train
